country,year,fossil_electricity,renewables_electricity,population,gdp,pc1,pc2,pc3,class,elec_sum
United States Pacific Islands,2013,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,2014,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,2015,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,2016,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Virgin Islands,1985,2431.99,827.938,105000,17200000000000.0,10.457934841490601,-4.785123681794698,2.517077109187555,1,3259.928
United States Virgin Islands,1986,2431.99,827.938,105000,17200000000000.0,10.457934841490601,-4.785123681794698,2.517077109187555,1,3259.928
United States Virgin Islands,1987,2431.99,827.938,105000,17200000000000.0,10.457934841490601,-4.785123681794698,2.517077109187555,1,3259.928
United States Virgin Islands,1988,2431.99,827.938,104000,17200000000000.0,10.457931474836482,-4.785131039754623,2.5170780114198212,1,3259.928
United States Virgin Islands,1989,2431.99,827.938,104000,17200000000000.0,10.457931474836482,-4.785131039754623,2.5170780114198212,1,3259.928
United States Virgin Islands,1990,2431.99,827.938,104000,17200000000000.0,10.457931474836482,-4.785131039754623,2.5170780114198212,1,3259.928
United States Virgin Islands,1991,2431.99,827.938,104000,17200000000000.0,10.457931474836482,-4.785131039754623,2.5170780114198212,1,3259.928
United States Virgin Islands,1992,2431.99,827.938,105000,17200000000000.0,10.457934841490601,-4.785123681794698,2.517077109187555,1,3259.928
United States Virgin Islands,1993,2431.99,827.938,106000,17200000000000.0,10.457938208144721,-4.785116323834771,2.5170762069552857,1,3259.928
United States Virgin Islands,1994,2431.99,827.938,107000,17200000000000.0,10.457941574798845,-4.7851089658748425,2.5170753047230177,1,3259.928
United States Virgin Islands,1995,2431.99,827.938,107000,17200000000000.0,10.457941574798845,-4.7851089658748425,2.5170753047230177,1,3259.928
United States Virgin Islands,1996,2431.99,827.938,108000,17200000000000.0,10.457944941452963,-4.785101607914917,2.5170744024907536,1,3259.928
United States Virgin Islands,1997,2431.99,827.938,108000,17200000000000.0,10.457944941452963,-4.785101607914917,2.5170744024907536,1,3259.928
United States Virgin Islands,1998,2431.99,827.938,109000,17200000000000.0,10.457948308107083,-4.785094249954989,2.517073500258487,1,3259.928
United States Virgin Islands,1999,2431.99,827.938,109000,17200000000000.0,10.457948308107083,-4.785094249954989,2.517073500258487,1,3259.928
